iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,success_rate
108,-0.934606,-0.115675,0.336349,-0.106083,-0.016968,0.179509,-0.038487,0.296247,0.570041,-0.343037,-3.018450,0.149929,0.039483,0.330364,0.954545
109,-0.964207,0.225139,0.140062,0.098045,-0.025658,0.179928,-0.036849,0.294429,0.399645,-0.140524,2.912206,0.152220,0.037832,0.354051,0.954545
110,-0.822099,0.564503,0.074093,0.291632,-0.032898,0.183424,-0.035840,0.294403,0.183970,-0.074161,2.539876,0.152509,0.036814,0.373922,0.954545
111,-0.570636,0.807338,0.150267,0.458854,-0.037743,0.189045,-0.034163,0.295885,-0.011380,-0.150838,2.186080,0.151033,0.035123,0.390247,0.954545
112,-0.283534,0.899970,0.331153,0.590636,-0.039937,0.195393,-0.030902,0.298517,-0.131437,-0.337525,1.876001,0.148510,0.031796,0.403513,0.913043
113,-0.021502,0.834955,0.549898,0.681470,-0.039774,0.201052,-0.025762,0.301906,-0.141928,-0.582243,1.596543,0.145940,0.026362,0.414071,0.956522
114,0.186195,0.649284,0.737402,0.731376,-0.037792,0.204984,-0.019067,0.305673,-0.003304,-0.829216,1.291522,0.144631,0.018857,0.421768,0.956522
115,0.342062,0.407135,0.846897,0.745379,-0.034489,0.206742,-0.011537,0.309496,0.351133,-1.010123,0.872038,0.146427,0.009909,0.425683,0.956522
116,0.467723,0.176727,0.866027,0.732426,-0.030159,0.206483,-0.003972,0.313142,0.880463,-1.047201,0.361263,0.152755,0.000796,0.425128,0.956522
117,0.583773,0.015002,0.811778,0.703885,-0.024912,0.204847,0.003000,0.316482,1.303579,-0.947191,0.025692,0.162591,-0.007306,0.421714,0.956522
118,0.697141,-0.045611,0.715482,0.671951,-0.018793,0.202724,0.009038,0.319494,1.534094,-0.797314,-0.065333,0.174214,-0.014001,0.417586,0.958333
119,0.797574,-0.000068,0.603221,0.647859,-0.011933,0.201020,0.014031,0.322254,1.636899,-0.647533,-0.000086,0.186505,-0.019325,0.414077,0.958333
120,0.865823,0.130811,0.482949,0.640251,-0.004618,0.200435,0.017939,0.324904,1.653617,-0.504019,0.149948,0.198731,-0.023364,0.411875,0.958333
121,0.887822,0.306611,0.343164,0.653875,0.002757,0.201313,0.020627,0.327623,1.605645,-0.350284,0.332528,0.210358,-0.026066,0.411220,0.958333
122,0.864745,0.474264,0.165198,0.689153,0.009823,0.203550,0.021812,0.330586,1.509422,-0.165959,0.501648,0.221007,-0.027213,0.411961,0.958333
123,0.815061,0.576463,-0.058011,0.741843,0.016369,0.206582,0.021163,0.333930,1.374804,0.058044,0.615584,0.230387,-0.026519,0.413616,0.960000
124,0.765787,0.565213,-0.306766,0.803502,0.022413,0.209474,0.018518,0.337716,1.193337,0.311793,0.635829,0.238153,-0.023791,0.415408,0.960000
125,0.736846,0.415187,-0.533551,0.863229,0.028129,0.211120,0.014102,0.341920,0.923932,0.562794,0.513123,0.243639,-0.019098,0.416190,0.960000
126,0.730384,0.254220,-0.633965,0.893787,0.033702,0.211462,0.008958,0.346300,0.681855,0.686669,0.334949,0.247117,-0.013497,0.415545,0.960000
127,0.730384,0.254217,-0.633966,0.893788,0.039188,0.211798,0.003896,0.350611,0.681849,0.686671,0.334945,0.250540,-0.007984,0.414911,0.960000
128,0.666672,0.244173,-0.704222,0.863428,0.044090,0.212051,-0.001636,0.354618,0.807100,0.781326,0.351083,0.254888,-0.001818,0.414412,0.961538
129,0.364103,0.196301,-0.910436,0.744968,0.046571,0.211929,-0.008681,0.357644,1.214903,1.144338,0.494465,0.262330,0.007067,0.415033,0.961538
130,-0.083773,0.099900,-0.991465,0.592502,0.045568,0.211067,-0.016241,0.359450,-3.110114,1.440048,2.268615,0.236388,0.018090,0.429291,0.961538
131,-0.554966,-0.059328,-0.829755,0.419606,0.040984,0.209003,-0.022451,0.359909,-1.993116,0.978668,-3.035093,0.219369,0.025423,0.402845,0.961538
132,-0.877380,-0.230251,-0.420938,0.243143,0.034026,0.205676,-0.025470,0.359025,-1.703176,0.434479,-2.884949,0.204804,0.028522,0.377938,0.961538
133,-0.947738,-0.301722,0.103715,-0.082056,0.026645,0.201861,-0.024499,0.355708,-1.430741,-0.103902,-2.833378,0.192507,0.027526,0.353793,0.962963
134,-0.813419,-0.185433,0.551329,0.047951,0.020376,0.198970,-0.020201,0.353412,-1.031820,-0.583956,-2.917455,0.183370,0.022963,0.329380,0.962963
135,-0.638842,0.097030,0.763194,0.132747,0.015493,0.198215,-0.014399,0.351777,-0.312505,-0.868242,2.990860,0.179697,0.016361,0.349095,0.962963
136,-0.588112,0.396912,0.704688,0.163213,0.011054,0.199676,-0.009111,0.350391,0.540974,-0.781983,2.547918,0.182353,0.010491,0.365263,0.962963
137,-0.706255,0.521839,0.478423,0.135934,0.005818,0.202028,-0.005553,0.348825,1.099778,-0.498858,2.505245,0.189050,0.006773,0.380883,0.962963
138,-0.892398,0.370477,0.257628,0.054103,-0.000690,0.203248,-0.003645,0.346690,1.507712,-0.260566,2.748097,0.198606,0.004836,0.398037,0.964286
139,-0.982704,0.005520,0.185103,-0.072695,-0.007755,0.201826,-0.002288,0.343673,1.854932,-0.186177,3.135976,0.210522,0.003462,0.417734,0.964286
140,-0.872051,-0.387840,0.298507,-0.230136,-0.013929,0.197614,-0.000139,0.339574,2.102728,-0.303128,-2.723118,0.224037,0.001272,0.395299,0.964286
141,-0.578307,-0.622249,0.527605,-0.399891,-0.017931,0.191799,0.003604,0.334329,2.186780,-0.555779,-2.319609,0.237957,-0.002679,0.376045,0.964286
142,-0.213307,-0.620435,0.754692,0.562218,-0.019307,0.186079,0.008893,0.335934,2.054878,-0.855185,-1.901939,0.250753,-0.008682,0.360003,0.964286
143,0.098847,-0.438285,0.893384,0.696918,-0.018481,0.181713,0.015078,0.338459,1.610938,-1.104822,-1.348976,0.260264,-0.016348,0.348052,0.965517
144,0.288757,-0.198278,0.936646,0.786600,-0.016347,0.179074,0.021478,0.341571,0.825621,-1.212928,-0.601717,0.264191,-0.024657,0.341456,0.965517
145,0.343222,0.005860,0.939236,0.819032,-0.013868,0.177880,0.027808,0.344864,0.057033,-1.220398,0.017070,0.262762,-0.032904,0.339219,0.965517
146,0.262131,0.145277,0.954034,0.787430,-0.011977,0.177657,0.034152,0.347895,-0.640215,-1.266421,0.506072,0.256577,-0.041352,0.340362,0.965517
147,0.038810,0.227711,0.972955,0.692254,-0.011632,0.177997,0.040538,0.350237,-1.740330,-1.337696,1.401983,0.242993,-0.050171,0.347584,0.965517
148,-0.310194,0.246062,0.918277,0.541363,-0.013649,0.178457,0.046469,0.351529,-2.963460,-1.163708,2.470980,0.221327,-0.057695,0.361931,0.966667
149,-0.618712,0.196024,0.760769,-0.392556,-0.017710,0.178575,0.051263,0.346535,2.882040,-0.864498,2.834772,0.239185,-0.063110,0.378527,0.966667
150,-0.622796,0.194874,0.757727,-0.390368,-0.021744,0.178683,0.055972,0.341622,2.877752,-0.859822,2.838342,0.256775,-0.068421,0.394926,0.966667
151,-0.622796,0.194874,0.757727,-0.390368,-0.025724,0.178791,0.060620,0.336775,2.877752,-0.859822,2.838342,0.274133,-0.073662,0.411108,0.966667
152,-0.622796,0.194874,0.757727,-0.390368,-0.029652,0.178897,0.065206,0.331991,2.877752,-0.859822,2.838342,0.291262,-0.078834,0.427076,0.966667
153,-0.610702,0.204522,0.764992,-0.395467,-0.033450,0.179064,0.069780,0.327236,2.896882,-0.871030,2.818435,0.308292,-0.084012,0.442706,0.967742
154,-0.451789,0.332168,0.827980,-0.454773,-0.036167,0.180058,0.074703,0.322158,-3.070664,-0.975496,2.507613,0.286351,-0.089801,0.456115,0.967742
155,-0.270816,0.493340,0.826604,0.507699,-0.037680,0.182079,0.079554,0.323355,-2.602690,-0.973047,2.072829,0.267712,-0.095499,0.466545,0.967742
156,-0.112383,0.668696,0.734994,0.539639,-0.038159,0.185199,0.083756,0.324742,-2.208655,-0.825658,1.737303,0.251837,-0.100180,0.474691,0.967742
157,-0.005485,0.835740,0.549098,0.543115,-0.037951,0.189342,0.086720,0.326133,-1.968197,-0.581284,1.577360,0.237697,-0.103244,0.481714,0.967742
158,0.032071,0.958939,0.281794,0.512768,-0.037508,0.194213,0.087954,0.327314,-1.828142,-0.285664,1.537364,0.224622,-0.104399,0.488396,0.968750
159,0.006523,0.999858,-0.015528,-0.451967,-0.037231,0.199280,0.087303,0.322413,-1.744697,0.015529,1.564272,0.212237,-0.103644,0.495162,0.968750
160,0.001560,0.998962,-0.045534,-0.444433,-0.036989,0.204278,0.086473,0.317620,-1.738066,0.045550,1.569234,0.200047,-0.102712,0.501875,0.968750
161,0.001560,0.998962,-0.045534,-0.444433,-0.036749,0.209214,0.085653,0.312887,-1.738066,0.045550,1.569234,0.188009,-0.101791,0.508505,0.968750
162,0.001560,0.998962,-0.045534,-0.444433,-0.036513,0.214089,0.084844,0.308212,-1.738066,0.045550,1.569234,0.176120,-0.100882,0.515052,0.968750
