iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,a_x,a_y,a_z,a_mag,alpha_x,alpha_y,alpha_z,alpha_mag,success_rate
97,0.691740,0.693884,0.200051,0.594689,0.251244,0.536793,-0.129450,0.287808,1.651501,-0.201409,0.786945,0.442687,0.125478,1.133321,-0.000270,0.000236,-0.000334,0.000490,-0.001296,0.000261,-0.000134,0.001329,0.894737
98,0.679429,0.698385,0.225020,0.608998,0.255613,0.538442,-0.125833,0.291085,1.591532,-0.226963,0.799155,0.454409,0.121881,1.129911,-0.000237,0.000224,-0.000381,0.000502,-0.001241,0.000398,-0.000178,0.001316,0.894737
99,0.665940,0.703584,0.247979,0.623104,0.259758,0.540110,-0.122057,0.294439,1.530304,-0.250594,0.812879,0.465277,0.118119,1.126709,-0.000214,0.000229,-0.000407,0.000514,-0.001231,0.000394,-0.000222,0.001311,0.900000
100,0.651453,0.709460,0.268843,0.636977,0.263675,0.541804,-0.118148,0.297864,1.467854,-0.272191,0.827996,0.475303,0.114216,1.123721,-0.000185,0.000226,-0.000437,0.000526,-0.001200,0.000431,-0.000264,0.001302,0.900000
101,0.636182,0.715968,0.287511,0.650566,0.267363,0.543528,-0.114132,0.301356,1.404360,-0.291627,0.844337,0.484501,0.110198,1.120955,-0.000143,0.000205,-0.000477,0.000538,-0.001116,0.000570,-0.000302,0.001289,0.900000
102,0.620237,0.723102,0.304021,0.663910,0.270823,0.545289,-0.110032,0.304911,1.339593,-0.308911,0.861823,0.492885,0.106089,1.118415,-0.000140,0.000244,-0.000471,0.000548,-0.001211,0.000312,-0.000348,0.001298,0.900000
103,0.603835,0.730803,0.318293,0.676953,0.274056,0.547090,-0.105874,0.308523,1.273786,-0.323928,0.880246,0.500466,0.101914,1.116102,-0.000095,0.000218,-0.000509,0.000562,-0.001121,0.000458,-0.000383,0.001270,0.900000
104,0.587188,0.739002,0.330281,0.689645,0.277067,0.548935,-0.101680,0.312187,1.207191,-0.336602,0.899375,0.507262,0.097697,1.114019,-0.000049,0.000191,-0.000539,0.000574,-0.001022,0.000590,-0.000414,0.001251,0.904762
105,0.570429,0.747661,0.340020,0.701996,0.279861,0.550828,-0.097473,0.315900,1.139750,-0.346938,0.919058,0.513285,0.093463,1.112162,-0.000033,0.000209,-0.000543,0.000583,-0.001067,0.000438,-0.000454,0.001240,0.904762
106,0.553712,0.756725,0.347520,0.713995,0.282444,0.552770,-0.093275,0.319655,1.071531,-0.354925,0.939097,0.518552,0.089233,1.110529,-0.000005,0.000210,-0.000557,0.000595,-0.001065,0.000387,-0.000491,0.001235,0.904762
